worker_id,assignment_id,abs_scu_id,abs_sent_id_1,text_1_html,text_2_html,text_1,prev_text_sent_id_1,prev_text_1,abs_sent_id_2,text_2,prev_text_sent_id_2,prev_text_2,year,topic,source,source-doc_1,source-doc_2,source-data,key,alignments
WYG,3PB5A5BD0V7EO2EJ3H5OZFKTVNF7GC,DUC2006~!~D0617~!~38~!~SCU,DUC2006~!~D0617~!~31,"EgyptAir Flight 990 <strong>crashed</strong> on October 31 , 1999 after <strong>departing</strong> JFK Airport .","Shortly after <strong>taking</strong> off from John F. Kennedy International Airport for Cairo , EgyptAir Flight 990 <strong>crashed</strong> into the Atlantic early Sunday , October 31 , 1999 , <strong>killing</strong> all 217 people on board .","EgyptAir Flight 990 crashed on October 31, 1999 after departing JFK Airport.",DUC2006~!~D0617~!~1,---------------,DUC2006~!~D0617~!~18,"Shortly after taking off from John F. Kennedy International Airport for Cairo, EgyptAir Flight 990 crashed into the Atlantic early Sunday, October 31, 1999, killing all 217 people on board.",DUC2006~!~D0617~!~1,---------------,DUC2006,D0617,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-test,DUC2006~!~D0617~!~18~!~DUC2006~!~D0617~!~31,"[{'sent1': [['DUC2006~!~D0617~!~31~!~3~!~crashed~!~15946', 'When did something crash somewhere? - after departing JFK Airport', 'crashed']], 'sent2': [['DUC2006~!~D0617~!~18~!~16~!~crashed~!~12777', 'When did something crash? - Shortly after taking off from John F. Kennedy International Airport', 'crashed']]}, {'sent1': [['DUC2006~!~D0617~!~31~!~3~!~crashed~!~15947', 'When did something crash somewhere? - October 31 , 1999', 'crashed']], 'sent2': [['DUC2006~!~D0617~!~18~!~16~!~crashed~!~12778', 'When did something crash? - October 31 , 1999', 'crashed']]}, {'sent1': [['DUC2006~!~D0617~!~31~!~10~!~departing~!~4052', 'Where did something depart from? - JFK Airport', 'departing']], 'sent2': [['DUC2006~!~D0617~!~18~!~2~!~taking~!~1513', 'Where did something take off from? - John F. Kennedy International Airport', 'taking']]}, {'sent1': [['DUC2006~!~D0617~!~31~!~10~!~departing~!~4051', 'When did something depart? - October 31 , 1999', 'departing']], 'sent2': [['DUC2006~!~D0617~!~18~!~2~!~taking~!~13181', 'When did something take off? - October 31 , 1999', 'taking']]}, {'sent1': [['DUC2006~!~D0617~!~31~!~10~!~departing~!~4053', 'What departed? - EgyptAir Flight 990', 'departing']], 'sent2': [['DUC2006~!~D0617~!~18~!~2~!~taking~!~1512', 'What took off? - EgyptAir Flight 990', 'taking']]}]"
R72,3I33IC7ZWF36SA4AB5WJ72SIMP42AT,DUC2006~!~D0643~!~154~!~SCU,DUC2006~!~D0643~!~13,La Nina <strong>alternates</strong> with El Nino and is <strong>fueled</strong> by abnormally cold water in the eastern Pacific .,La Nina is the phenomenon of rapidly <strong>cooling</strong> equatorial waters in the central Pacific .,La Nina alternates with El Nino and is fueled by abnormally cold water in the eastern Pacific.,DUC2006~!~D0643~!~12,El Nino may lessen global warming by temporarily stemming the release of carbon dioxide from the Pacific.,DUC2006~!~D0643~!~48,La Nina is the phenomenon of rapidly cooling equatorial waters in the central Pacific.,DUC2006~!~D0643~!~47,"It also helps trigger some man-made disasters, such as forest fires, and enhances conditions that cause viral disease among humans and livestock.",DUC2006,D0643,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-test,DUC2006~!~D0643~!~13~!~DUC2006~!~D0643~!~48,"[{'sent1': [['DUC2006~!~D0643~!~13~!~8~!~fueled~!~4117', 'Where is something fueled by something? - eastern Pacific', 'fueled']], 'sent2': [['DUC2006~!~D0643~!~48~!~7~!~cooling~!~7759', 'Where is something cooling? - central Pacific', 'cooling']]}]"
WYG,3TYCR1GOTCKDU4YQX3UN3RI01X6ZLU,DUC2006~!~D0643~!~154~!~SCU,DUC2006~!~D0643~!~13,La Nina <strong>alternates</strong> with El Nino and is <strong>fueled</strong> by abnormally cold water in the eastern Pacific .,La Nina is the phenomenon of rapidly <strong>cooling</strong> equatorial waters in the central Pacific .,La Nina alternates with El Nino and is fueled by abnormally cold water in the eastern Pacific.,DUC2006~!~D0643~!~12,El Nino may lessen global warming by temporarily stemming the release of carbon dioxide from the Pacific.,DUC2006~!~D0643~!~48,La Nina is the phenomenon of rapidly cooling equatorial waters in the central Pacific.,DUC2006~!~D0643~!~47,"It also helps trigger some man-made disasters, such as forest fires, and enhances conditions that cause viral disease among humans and livestock.",DUC2006,D0643,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-test,DUC2006~!~D0643~!~13~!~DUC2006~!~D0643~!~48,{}
WYG,34HJIJKLP5X0NCMVQE63W43TR084V9,DUC2007~!~D0704-AHIJ~!~54~!~SCU,DUC2007~!~D0704-AHIJ~!~8,The Kenyan government <strong>complained</strong> that AI must be sensitive to national sovereignty and the human rights of <strong>killed</strong> police officers and <strong>accused</strong> AI of <strong>inciting</strong> Kenyans against the government .,"Kenya , Tanzania , and Rwanda all <strong>said</strong> AI 's reports were <strong>calculated</strong> to <strong>incite</strong> citizens against the government .",The Kenyan government complained that AI must be sensitive to national sovereignty and the human rights of killed police officers and accused AI of inciting Kenyans against the government.,DUC2007~!~D0704-AHIJ~!~7,AI charged the government of Kenya in 1997 with police torture of suspects and footdragging on promised human rights reforms.,DUC2007~!~D0704-AHIJ~!~29,"Kenya, Tanzania, and Rwanda all said AI's reports were calculated to incite citizens against the government.",DUC2007~!~D0704-AHIJ~!~28,"Some countries promise reforms following AI criticism but others make excuses or say AI reports are biased, lack probity, are based on opposition allegations, or ignore recent progress.",DUC2007,D0704-AHIJ,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-test,DUC2007~!~D0704-AHIJ~!~29~!~DUC2007~!~D0704-AHIJ~!~8,"[{'sent1': [['DUC2007~!~D0704-AHIJ~!~8~!~21~!~accused~!~5866', 'What was someone accused of? - inciting Kenyans against the government', 'accused']], 'sent2': [['DUC2007~!~D0704-AHIJ~!~29~!~12~!~calculated~!~6241', 'What was something calculated to do? - to incite citizens against the government', 'calculated']]}, {'sent1': [['DUC2007~!~D0704-AHIJ~!~8~!~21~!~accused~!~15198', 'Who was accused of something? - AI', 'accused']], 'sent2': [['DUC2007~!~D0704-AHIJ~!~29~!~14~!~incite~!~5617', ""What incited someone? - AI 's reports"", 'incite']]}, {'sent1': [['DUC2007~!~D0704-AHIJ~!~8~!~3~!~complained~!~6468', 'Who complained? - Kenyan government', 'complained']], 'sent2': [['DUC2007~!~D0704-AHIJ~!~29~!~7~!~said~!~15863', 'who said something? - Kenya', 'said']]}, {'sent1': [['DUC2007~!~D0704-AHIJ~!~8~!~3~!~complained~!~6469', 'Why did someone complain? - AI must be sensitive to national sovereignty and the human rights of killed police officers and accused AI of inciting Kenyans against the government', 'complained']], 'sent2': [['DUC2007~!~D0704-AHIJ~!~29~!~7~!~said~!~7336', ""What did someone say? - AI 's reports were calculated to incite citizens against the government"", 'said']]}]"
R72,3E47SOBEYQXYWAFAKMD20DPNB39IC3,DUC2007~!~D0704-AHIJ~!~54~!~SCU,DUC2007~!~D0704-AHIJ~!~8,The Kenyan government <strong>complained</strong> that AI must be sensitive to national sovereignty and the human rights of <strong>killed</strong> police officers and <strong>accused</strong> AI of <strong>inciting</strong> Kenyans against the government .,"Kenya , Tanzania , and Rwanda all <strong>said</strong> AI 's reports were <strong>calculated</strong> to <strong>incite</strong> citizens against the government .",The Kenyan government complained that AI must be sensitive to national sovereignty and the human rights of killed police officers and accused AI of inciting Kenyans against the government.,DUC2007~!~D0704-AHIJ~!~7,AI charged the government of Kenya in 1997 with police torture of suspects and footdragging on promised human rights reforms.,DUC2007~!~D0704-AHIJ~!~29,"Kenya, Tanzania, and Rwanda all said AI's reports were calculated to incite citizens against the government.",DUC2007~!~D0704-AHIJ~!~28,"Some countries promise reforms following AI criticism but others make excuses or say AI reports are biased, lack probity, are based on opposition allegations, or ignore recent progress.",DUC2007,D0704-AHIJ,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-test,DUC2007~!~D0704-AHIJ~!~29~!~DUC2007~!~D0704-AHIJ~!~8,"[{'sent1': [['DUC2007~!~D0704-AHIJ~!~8~!~24~!~inciting~!~15115', 'Who incited someone against something? - AI', 'inciting']], 'sent2': [['DUC2007~!~D0704-AHIJ~!~29~!~14~!~incite~!~5617', ""What incited someone? - AI 's reports"", 'incite']]}, {'sent1': [['DUC2007~!~D0704-AHIJ~!~8~!~24~!~inciting~!~5582', 'Who did someone incite against something? - Kenyans', 'inciting']], 'sent2': [['DUC2007~!~D0704-AHIJ~!~29~!~14~!~incite~!~5618', 'Who did something incite? - citizens', 'incite']]}, {'sent1': [['DUC2007~!~D0704-AHIJ~!~8~!~3~!~complained~!~6468', 'Who complained? - Kenyan government', 'complained']], 'sent2': [['DUC2007~!~D0704-AHIJ~!~29~!~7~!~said~!~15863', 'who said something? - Kenya', 'said']]}, {'sent1': [['DUC2007~!~D0704-AHIJ~!~8~!~21~!~accused~!~5866', 'What was someone accused of? - inciting Kenyans against the government', 'accused']], 'sent2': [['DUC2007~!~D0704-AHIJ~!~29~!~7~!~said~!~7336', ""What did someone say? - AI 's reports were calculated to incite citizens against the government"", 'said']]}]"
R72,36PW28KO4ZXYNQGQ4PRK9317J7LEAS,DUC2007~!~D0701-AGHI~!~16~!~SCU,DUC2007~!~D0701-AGHI~!~9,Dees and the SPLC have <strong>fought</strong> to <strong>break</strong> the organizations by legal action <strong>resulting</strong> in severe financial penalties .,"He has <strong>used</strong> the civil lawsuit like a "" Buck Knife , <strong>carving</strong> financial assets out of hate group leaders "" .",Dees and the SPLC have fought to break the organizations by legal action resulting in severe financial penalties.,DUC2007~!~D0701-AGHI~!~8,"The SPLC's most outstanding successes, however, have been in its civil lawsuits against hate groups.",DUC2007~!~D0701-AGHI~!~19,"He has used the civil lawsuit like a ""Buck Knife, carving financial assets out of hate group leaders"".",DUC2007~!~D0701-AGHI~!~18,Dees has determined that the civil courts are an effective forum in which to attack and destroy hate groups.,DUC2007,D0701-AGHI,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-test,DUC2007~!~D0701-AGHI~!~19~!~DUC2007~!~D0701-AGHI~!~9,"[{'sent1': [['DUC2007~!~D0701-AGHI~!~9~!~5~!~fought~!~15055', 'Who has been fought something? - Dees', 'fought']], 'sent2': [['DUC2007~!~D0701-AGHI~!~19~!~2~!~used~!~2177', 'Who used something? - He', 'used']]}, {'sent1': [['DUC2007~!~D0701-AGHI~!~9~!~5~!~fought~!~5412', 'How has someone fought? - by legal action', 'fought']], 'sent2': [['DUC2007~!~D0701-AGHI~!~19~!~2~!~used~!~2178', 'What did someone use? - the civil lawsuit', 'used']]}, {'sent1': [['DUC2007~!~D0701-AGHI~!~9~!~13~!~resulting~!~6383', 'What resulted in something? - legal action', 'resulting']], 'sent2': [['DUC2007~!~D0701-AGHI~!~19~!~12~!~carving~!~1249', 'How was someone carving something out of someone? - the civil lawsuit', 'carving']]}, {'sent1': [['DUC2007~!~D0701-AGHI~!~9~!~13~!~resulting~!~6384', 'What did something result in? - severe financial penalties', 'resulting']], 'sent2': [['DUC2007~!~D0701-AGHI~!~19~!~12~!~carving~!~1247', 'What was someone carving out of someone? - financial assets', 'carving']]}]"
WYG,3L6L49WXW0YJPI7GKNOQS69UECB457,DUC2007~!~D0701-AGHI~!~16~!~SCU,DUC2007~!~D0701-AGHI~!~9,Dees and the SPLC have <strong>fought</strong> to <strong>break</strong> the organizations by legal action <strong>resulting</strong> in severe financial penalties .,"He has <strong>used</strong> the civil lawsuit like a "" Buck Knife , <strong>carving</strong> financial assets out of hate group leaders "" .",Dees and the SPLC have fought to break the organizations by legal action resulting in severe financial penalties.,DUC2007~!~D0701-AGHI~!~8,"The SPLC's most outstanding successes, however, have been in its civil lawsuits against hate groups.",DUC2007~!~D0701-AGHI~!~19,"He has used the civil lawsuit like a ""Buck Knife, carving financial assets out of hate group leaders"".",DUC2007~!~D0701-AGHI~!~18,Dees has determined that the civil courts are an effective forum in which to attack and destroy hate groups.,DUC2007,D0701-AGHI,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-test,DUC2007~!~D0701-AGHI~!~19~!~DUC2007~!~D0701-AGHI~!~9,"[{'sent1': [['DUC2007~!~D0701-AGHI~!~9~!~7~!~break~!~4090', 'What did someone break? - the organizations', 'break']], 'sent2': [['DUC2007~!~D0701-AGHI~!~19~!~12~!~carving~!~1248', 'Who was someone carving something out of? - hate group leaders', 'carving']]}, {'sent1': [['DUC2007~!~D0701-AGHI~!~9~!~7~!~break~!~14356', 'Who broke something? - Dees', 'break']], 'sent2': [['DUC2007~!~D0701-AGHI~!~19~!~12~!~carving~!~1246', 'Who was carving something out of someone? - He', 'carving']]}, {'sent1': [['DUC2007~!~D0701-AGHI~!~9~!~7~!~break~!~4091', 'How did someone break something? - by legal action resulting in severe financial penalties', 'break']], 'sent2': [['DUC2007~!~D0701-AGHI~!~19~!~2~!~used~!~2179', 'How did someone use something? - like a "" Buck Knife , carving financial assets out of hate group leaders ""', 'used']]}]"
WYG,31Z0PCVWUKGIT70PNH4VYYZILHAT7U,DUC2006~!~D0620~!~339~!~SCU,DUC2006~!~D0620~!~8,"Schools <strong>keep</strong> all but main doors <strong>locked</strong> , <strong>require</strong> visitor <strong>passes</strong> , and some have <strong>installed</strong> panic alarms .","These preventive measures <strong>included</strong> <strong>posting</strong> armed security officers in schools ; <strong>using</strong> metal detectors and surveillance cameras , <strong>conducting</strong> searches for weapons in schools ; <strong>tightening</strong> access to campuses and <strong>improving</strong> screening for school visitors ; <strong>locking</strong> most school entrances during the school day ; <strong>installing</strong> a hot line and tip box for <strong>reporting</strong> incidents that might <strong>lead</strong> to violence ; <strong>expelling</strong> students who <strong>bring</strong> a gun to school ; <strong><strong>requiring</strong></strong> school uniforms ; <strong>making</strong> it harder to <strong>conceal</strong> a weapon by <strong><strong>requiring</strong></strong> transparent book bags and <strong>forbidding</strong> baggy clothing .","Schools keep all but main doors locked, require visitor passes, and some have installed panic alarms.",DUC2006~!~D0620~!~7,"Physical building security measures include removing lockers, on-campus armed guards, metal detectors, gun- and bomb-sniffing dogs, and video surveillance.",DUC2006~!~D0620~!~49,"These preventive measures included posting armed security officers in schools; using metal detectors and surveillance cameras, conducting searches for weapons in schools; tightening access to campuses and improving screening for school visitors; locking most school entrances during the school day; installing a hot line and tip box for reporting incidents that might lead to violence; expelling students who bring a gun to school; requiring school uniforms; making it harder to conceal a weapon by requiring transparent book bags and forbidding baggy clothing.",DUC2006~!~D0620~!~48,"A series of well-publicized school shooting in Colorado, Mississippi, Kentucky, Arkansas, and Oregon caused schools and school districts to take measures to prevent school violence and shootings.",DUC2006,D0620,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-test,DUC2006~!~D0620~!~49~!~DUC2006~!~D0620~!~8,"[{'sent1': [['DUC2006~!~D0620~!~8~!~15~!~installed~!~7015', 'Where has something been installed? - Schools', 'installed']], 'sent2': [['DUC2006~!~D0620~!~49~!~45~!~installing~!~3653', 'Where is something being installed? - schools', 'installing']]}]"
R72,3EFE17QCRC6E7WTMBQLHF6SQXOVSHJ,DUC2006~!~D0620~!~339~!~SCU,DUC2006~!~D0620~!~8,"Schools <strong>keep</strong> all but main doors <strong>locked</strong> , <strong>require</strong> visitor <strong>passes</strong> , and some have <strong>installed</strong> panic alarms .","These preventive measures <strong>included</strong> <strong>posting</strong> armed security officers in schools ; <strong>using</strong> metal detectors and surveillance cameras , <strong>conducting</strong> searches for weapons in schools ; <strong>tightening</strong> access to campuses and <strong>improving</strong> screening for school visitors ; <strong>locking</strong> most school entrances during the school day ; <strong>installing</strong> a hot line and tip box for <strong>reporting</strong> incidents that might <strong>lead</strong> to violence ; <strong>expelling</strong> students who <strong>bring</strong> a gun to school ; <strong><strong>requiring</strong></strong> school uniforms ; <strong>making</strong> it harder to <strong>conceal</strong> a weapon by <strong><strong>requiring</strong></strong> transparent book bags and <strong>forbidding</strong> baggy clothing .","Schools keep all but main doors locked, require visitor passes, and some have installed panic alarms.",DUC2006~!~D0620~!~7,"Physical building security measures include removing lockers, on-campus armed guards, metal detectors, gun- and bomb-sniffing dogs, and video surveillance.",DUC2006~!~D0620~!~49,"These preventive measures included posting armed security officers in schools; using metal detectors and surveillance cameras, conducting searches for weapons in schools; tightening access to campuses and improving screening for school visitors; locking most school entrances during the school day; installing a hot line and tip box for reporting incidents that might lead to violence; expelling students who bring a gun to school; requiring school uniforms; making it harder to conceal a weapon by requiring transparent book bags and forbidding baggy clothing.",DUC2006~!~D0620~!~48,"A series of well-publicized school shooting in Colorado, Mississippi, Kentucky, Arkansas, and Oregon caused schools and school districts to take measures to prevent school violence and shootings.",DUC2006,D0620,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-test,DUC2006~!~D0620~!~49~!~DUC2006~!~D0620~!~8,"[{'sent1': [['DUC2006~!~D0620~!~8~!~1~!~keep~!~6059', 'What does someone keep? - all but main doors locked', 'keep']], 'sent2': [['DUC2006~!~D0620~!~49~!~36~!~locking~!~684', 'What is being locked? - most school entrances', 'locking']]}, {'sent1': [['DUC2006~!~D0620~!~8~!~8~!~require~!~7619', 'What does someone require? - visitor passes', 'require']], 'sent2': [['DUC2006~!~D0620~!~49~!~30~!~improving~!~2790', 'Who was something improved for? - for school visitors', 'improving']]}]"
WYG,3LUY3GC63Z1K1F7I60VBTOYLWEP7P3,DUC2006~!~D0627~!~121~!~SCU,DUC2006~!~D0627~!~47,"Most children <strong>came</strong> from Russia , China , and Korea .","Russia and China , the primary sources for adoption by Americans , have recently <strong>passed</strong> laws that <strong>put</strong> tighter restrictions on the procedures for adoption .","Most children came from Russia, China, and Korea.",DUC2006~!~D0627~!~46,"In 1999, 16,396 adopted children came to the US from abroad.",DUC2006~!~D0627~!~21,"Russia and China, the primary sources for adoption by Americans, have recently passed laws that put tighter restrictions on the procedures for adoption.",DUC2006~!~D0627~!~20,"In July 2000, the US ratified the Hague Convention on Intercountry Adoption, which was created to establish guidelines for international adoptions, harmonize the practices of different countries, improve the treatment of children, and curtail corruption, fraud and smuggling in the process.",DUC2006,D0627,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-test,DUC2006~!~D0627~!~21~!~DUC2006~!~D0627~!~47,{}
R72,3Z2R0DQ0JHF9INLMRAY53LI97Q2E28,DUC2006~!~D0627~!~121~!~SCU,DUC2006~!~D0627~!~47,"Most children <strong>came</strong> from Russia , China , and Korea .","Russia and China , the primary sources for adoption by Americans , have recently <strong>passed</strong> laws that <strong>put</strong> tighter restrictions on the procedures for adoption .","Most children came from Russia, China, and Korea.",DUC2006~!~D0627~!~46,"In 1999, 16,396 adopted children came to the US from abroad.",DUC2006~!~D0627~!~21,"Russia and China, the primary sources for adoption by Americans, have recently passed laws that put tighter restrictions on the procedures for adoption.",DUC2006~!~D0627~!~20,"In July 2000, the US ratified the Hague Convention on Intercountry Adoption, which was created to establish guidelines for international adoptions, harmonize the practices of different countries, improve the treatment of children, and curtail corruption, fraud and smuggling in the process.",DUC2006,D0627,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-test,DUC2006~!~D0627~!~21~!~DUC2006~!~D0627~!~47,{}
R72,37ZHEEHM6WNDUQ2V82Y4GLVKRJO73K,DUC2007~!~D0704-AHIJ~!~73~!~SCU,DUC2007~!~D0704-AHIJ~!~36,"Examples of AI charges <strong>include</strong> the following : Israel has been <strong>accused</strong> of <strong>using</strong> <strong><strong>torture</strong></strong> in <strong>interrogating</strong> Palestinians ; Nigeria , of contempt for human rights ; Germany , of police racism ; Russia , of <strong>continuing</strong> human rights violations <strong>including</strong> <strong><strong>torture</strong></strong> of prisoners and use of the death penalty ; Brazil , of <strong>holding</strong> an unfair trial for an activist ; Kosovo , of war crimes ; Sri Lanka , of illegal detention camps ; Indonesia , of <strong>torturing</strong> pro - democracy activists ; Britain , of <strong>selling</strong> arms to countries such as Indonesia and Algeria ; the U.S. , of having the death penalty ; and South Korea , of <strong>trying</strong> to <strong>control</strong> an independent human rights commission .",AI charges of racist acts by the German police were thoroughly <strong>investigated</strong> by German state officials in what they <strong>termed</strong> an impartial review that <strong>found</strong> that the police were not racist as a whole .,"Examples of AI charges include the following: Israel has been accused of using torture in interrogating Palestinians; Nigeria, of contempt for human rights; Germany, of police racism; Russia, of continuing human rights violations including torture of prisoners and use of the death penalty; Brazil, of holding an unfair trial for an activist; Kosovo, of war crimes; Sri Lanka, of illegal detention camps; Indonesia, of torturing pro-democracy activists; Britain, of selling arms to countries such as Indonesia and Algeria; the U.S., of having the death penalty; and South Korea, of trying to control an independent human rights commission.",DUC2007~!~D0704-AHIJ~!~35,The usual reaction to such charges is denial.,DUC2007~!~D0704-AHIJ~!~11,AI charges of racist acts by the German police were thoroughly investigated by German state officials in what they termed an impartial review that found that the police were not racist as a whole.,DUC2007~!~D0704-AHIJ~!~10,"Rwandan authorities countered that AI was ""another hand of the insurgency"" and a mouthpiece for the Hutu hardliners.",DUC2007,D0704-AHIJ,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-test,DUC2007~!~D0704-AHIJ~!~11~!~DUC2007~!~D0704-AHIJ~!~36,{}
WYG,3DZQRBDBSLGZDOMNW5WFBCRGEV8S3V,DUC2007~!~D0704-AHIJ~!~73~!~SCU,DUC2007~!~D0704-AHIJ~!~36,"Examples of AI charges <strong>include</strong> the following : Israel has been <strong>accused</strong> of <strong>using</strong> <strong><strong>torture</strong></strong> in <strong>interrogating</strong> Palestinians ; Nigeria , of contempt for human rights ; Germany , of police racism ; Russia , of <strong>continuing</strong> human rights violations <strong>including</strong> <strong><strong>torture</strong></strong> of prisoners and use of the death penalty ; Brazil , of <strong>holding</strong> an unfair trial for an activist ; Kosovo , of war crimes ; Sri Lanka , of illegal detention camps ; Indonesia , of <strong>torturing</strong> pro - democracy activists ; Britain , of <strong>selling</strong> arms to countries such as Indonesia and Algeria ; the U.S. , of having the death penalty ; and South Korea , of <strong>trying</strong> to <strong>control</strong> an independent human rights commission .",AI charges of racist acts by the German police were thoroughly <strong>investigated</strong> by German state officials in what they <strong>termed</strong> an impartial review that <strong>found</strong> that the police were not racist as a whole .,"Examples of AI charges include the following: Israel has been accused of using torture in interrogating Palestinians; Nigeria, of contempt for human rights; Germany, of police racism; Russia, of continuing human rights violations including torture of prisoners and use of the death penalty; Brazil, of holding an unfair trial for an activist; Kosovo, of war crimes; Sri Lanka, of illegal detention camps; Indonesia, of torturing pro-democracy activists; Britain, of selling arms to countries such as Indonesia and Algeria; the U.S., of having the death penalty; and South Korea, of trying to control an independent human rights commission.",DUC2007~!~D0704-AHIJ~!~35,The usual reaction to such charges is denial.,DUC2007~!~D0704-AHIJ~!~11,AI charges of racist acts by the German police were thoroughly investigated by German state officials in what they termed an impartial review that found that the police were not racist as a whole.,DUC2007~!~D0704-AHIJ~!~10,"Rwandan authorities countered that AI was ""another hand of the insurgency"" and a mouthpiece for the Hutu hardliners.",DUC2007,D0704-AHIJ,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-test,DUC2007~!~D0704-AHIJ~!~11~!~DUC2007~!~D0704-AHIJ~!~36,{}
WYG,36W0OB37HWFB88F06IFPBZPTKG3ZHT,DUC2006~!~D0630~!~76~!~SCU,DUC2006~!~D0630~!~38,Online bookselling <strong>continued</strong> to <strong>increase</strong> its share of the book market .,Independent bookstores have been seriously <strong>damaged</strong> by superstore chains and also have been <strong>set</strong> back by <strong>increasing</strong> online sales .,Online bookselling continued to increase its share of the book market.,DUC2006~!~D0630~!~37,"That bid was later dropped because of opposition from the Federal Trade Commission but had it gone through, Barnes&Noble could have optimized its own position by preferential channeling of book distribution through its stores to the detriment of the independents.",DUC2006~!~D0630~!~20,Independent bookstores have been seriously damaged by superstore chains and also have been set back by increasing online sales.,DUC2006~!~D0630~!~19,Independent bookstores' market sales dropped from 16.6 percent to 15.2 percent in 1999.,DUC2006,D0630,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-test,DUC2006~!~D0630~!~20~!~DUC2006~!~D0630~!~38,"[{'sent1': [['DUC2006~!~D0630~!~38~!~4~!~increase~!~3394', 'What is increasing something? - Online bookselling', 'increase']], 'sent2': [['DUC2006~!~D0630~!~20~!~16~!~increasing~!~1809', 'What is increasing? - sales', 'increasing']]}]"
R72,3JRJSWSMQHMY35H5VACAMVN1D423E8,DUC2006~!~D0630~!~76~!~SCU,DUC2006~!~D0630~!~38,Online bookselling <strong>continued</strong> to <strong>increase</strong> its share of the book market .,Independent bookstores have been seriously <strong>damaged</strong> by superstore chains and also have been <strong>set</strong> back by <strong>increasing</strong> online sales .,Online bookselling continued to increase its share of the book market.,DUC2006~!~D0630~!~37,"That bid was later dropped because of opposition from the Federal Trade Commission but had it gone through, Barnes&Noble could have optimized its own position by preferential channeling of book distribution through its stores to the detriment of the independents.",DUC2006~!~D0630~!~20,Independent bookstores have been seriously damaged by superstore chains and also have been set back by increasing online sales.,DUC2006~!~D0630~!~19,Independent bookstores' market sales dropped from 16.6 percent to 15.2 percent in 1999.,DUC2006,D0630,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-test,DUC2006~!~D0630~!~20~!~DUC2006~!~D0630~!~38,"[{'sent1': [['DUC2006~!~D0630~!~38~!~4~!~increase~!~3394', 'What is increasing something? - Online bookselling', 'increase']], 'sent2': [['DUC2006~!~D0630~!~20~!~16~!~increasing~!~1809', 'What is increasing? - sales', 'increasing'], ['DUC2006~!~D0630~!~20~!~16~!~increasing~!~1810', 'Where is something increasing? - online', 'increasing']]}]"
R72,3RKNTXVS3MZGVOJXFJF70HPG6IRA4I,DUC2006~!~D0616~!~51~!~SCU,DUC2006~!~D0616~!~14,"The turbulence <strong>resulted</strong> in thousands of Chechens <strong>trying</strong> to <strong>leave</strong> the republic , and many human rights issues <strong>came</strong> under examination .","Some 3,600 Chechen civilians were <strong>killed</strong> and almost 200,000 <strong>fled</strong> the country .","The turbulence resulted in thousands of Chechens trying to leave the republic, and many human rights issues came under examination .",DUC2006~!~D0616~!~13,"However, the rebels geared up again and during 2000 launched isolated attacks, turning to bombings and the hit-and-run tactics that were effective in 1994-1996.",DUC2006~!~D0616~!~39,"Some 3,600 Chechen civilians were killed and almost 200,000 fled the country.",DUC2006~!~D0616~!~38,"By November 2000, the Russians occupied 60% of Chechen territory and drove some 2500 rebels into the mountain areas.",DUC2006,D0616,sum-sum,reference_summary_sentence,reference_summary_sentence,summ-test,DUC2006~!~D0616~!~14~!~DUC2006~!~D0616~!~39,"[{'sent1': [['DUC2006~!~D0616~!~14~!~9~!~leave~!~6603', 'Who might be leaving somewhere? - thousands of Chechens', 'leave']], 'sent2': [['DUC2006~!~D0616~!~39~!~9~!~fled~!~5508', 'Who fled something? - Chechen civilians', 'fled']]}, {'sent1': [['DUC2006~!~D0616~!~14~!~9~!~leave~!~6604', 'Where might someone be leaving? - the republic', 'leave']], 'sent2': [['DUC2006~!~D0616~!~39~!~9~!~fled~!~5509', 'What did someone flee? - the country', 'fled']]}]"
